"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"35","long-lasting","形容詞","長続きする、長持ちする","The experience of war can leave long-lasting psychological effects.","戦争体験は長きにわたり心理的な影響をおよぼすことがある。","/lɔ́ŋlá:stiŋ/","enduring, permanent, persistent","","N/A"
"36","outcome","名詞","結果、成り行き; 成果","The accident was the inevitable outcome of the driver's carelessness.","事故は運転者の不注意の必然的な結果だった。","/áutkʌm/","aftermath, consequence, effect, result","","4"
"37","defuse","動詞","（爆発物）から信管を抜く; ～の危険を取り除く、緩和する","The expert slowly tried to defuse the terrorist's bomb.","専門家はゆっくりとテロリストの爆弾から信管を外そうとした。","/di:fjú:z/","disarm, deactivate","","N/A"
"38","assassination","名詞","暗殺(事件)","Lee Harvey Oswald was accused of the assassination of John F. Kennedy.","リー・ハーヴェイ・オズワルドはジョン・F・ケネディ暗殺の罪に問われた。","/əsàsənéiʃən/","execution, hit, murder, slaying","","9"
"39","benefit","名詞","恩恵、利益、助けになること","One benefit of volunteering is the experience of helping others.","ボランティアのメリットの1つは、人の役に立つ経験ができることである。","/bénəfit/","advantage, merit","","3"
"40","competitive","形容詞","負けず嫌いな、競争心の強い; 競争の、競合する","The competitive salesman works day and night to outsell all of his co-workers.","負けず嫌いなその販売員は、同僚の誰よりも多く売るために日夜働く。","/kəmpétətiv/","determined, ardent","apathetic, unenthusiastic","5"
"41","vision","名詞","展望、先見; 見通す力、洞察力","The fortune teller had a vision of his future.","占い師には彼の未来の展望が見えた。","/víʒən/","foresight, inspiration, imagination","","3"
"42","despite","前置詞","～にもかかわらず","Despite concerns from local residents, the construction of the new road went ahead.","地元住民らが懸念していたにもかかわらず、新しい道路の建設が進められた。","/dispáit/","in spite of, notwithstanding, regardless of","","4"
"43","shortage","名詞","不足、欠乏; 不足量","The oil shortage was causing huge issues with transport.","石油不足は輸送に大きな問題を引き起こしていた。","/ʃɔ́:rtidʒ/","lack","overage","4"
"44","computer","名詞","コンピューター","My computer has just broken so I've lost all my work.","コンピューターが壊れて、作業が全て消えてしまった。","/kəmpjú:tə/","","","2"
"45","standardise","動詞","～を標準化する、基準に合わせる、統一する","All the top private schools are cooperating together to standardise their entrance tests.","一流の私立学校は全て、入学試験を統一しようと協力している。","/stǽndədàiz/","formalise, regularise","","8"
"46","dissolve","動詞","～を溶かす、溶ける; 姿を消す、消える","To ease your stomach pain, dissolve this tablet in water and drink it.","胃痛を和らげるには、この錠剤を水に溶かして飲んで。","/dizɔ́lv/","disappear, break up, fade","appear, materialise","5"
"47","assemble","動詞","～を集める、招集する; ～を組み立てる","Can you assemble a team of about six people for this project?","このプロジェクト向けに6人程度のチームを組めますか？","/əsémbl/","collect, gather; build, construct","","5"
"48","confess","動詞","（罪）を白状する、告白する; ～を告解する","The man went to church to confess his sins to a priest.","その男は神父に罪を告解するために教会に向かった。","/kənfés/","apologise, admit","conceal","4"
"49","generate","動詞","～を生み出す、創出する; ～を起こす","She asked the technician to generate a plan to fix the broken engine.","壊れたエンジンの修理計画を作るよう、彼女は技術者に頼んだ。","/dʒénərèit/","bring, create, make, produce","","6"
"50","essence","名詞","本質、真髄; (in essence) 基本的に","This book tells you the essence of Japanese culture.","この本は日本文化の精髄について教えてくれる。","/ésns/","","","4"
"51","warfare","名詞","戦争、戦闘行為、闘争、戦い","The general was an expert in all types of warfare.","その将軍はあらゆる種類の戦いにおいて秀でていた。","/wɔ́:fèə/","conflict, friction, war","","7"
"52","suit","動詞","～に適する; 都合が良い; ～に似合う","The new flexitime working schedule ideally suits most in-house procedures.","新しいフレックスタイムスケジュールは社内手続きの多くにぴったり適合している。","/sú:t/","","","1"
"53","outlaw","動詞","～を非合法化する、禁止する","The new law will outlaw drinking under the age of 16.","新しい法律で16歳未満の飲酒は禁止になる。","/áutlɔ̀:/","prohibit, criminalise, illegalise, forbid","","8"
"54","invest","動詞","（金）を投資する、支出する; （時間・労力など）を投じる","In order to be successful in business, you need to invest time and money.","ビジネスの成功者となるためには、時間と金を投資しなければならない。","/invést/","devote, endow","","4"
"55","genre","名詞","(文学・芸術作品などの)ジャンル、種類、様式、分野","His favourite genre of books was mystery, but for movies, it was horror.","彼が好きな本のジャンルはミステリーだが、映画ではホラーが好きだった。","/ʒɑ́:ŋrə/","category, class","","7"
"56","prohibition","名詞","禁止; 禁止令","There is a prohibition of drinking alcohol on trains.","電車内での飲酒は禁止されている。","/pròuhəbíʃən/","ban, embargo, veto","","9"
"57","prevention","名詞","防止、予防、止めること","Strict testing of new drivers is important for the prevention of accidents.","事故の予防には、新規免許取得者に厳しい試験を課すことが重要だ。","/privénʃən/","avoidance","","5"
"58","celebrate","動詞","～を（記念して）祝う; ～を賛美する; （儀式）を執り行う","If you pass the exam, we can celebrate with a big party.","試験に合格すれば、盛大なパーティーでお祝いできる。","/séləbrèit/","commemorate","","3"
"59","human-made","形容詞","人工の、人造の; (物質などが)合成の","Cars are human-made, as opposed to trees, which are natural.","木が自然の産物であるのに対し、車は人工的なものである。","/hjú:mənméid/","artificial; synthetic","natural, real","N/A"
"60","virtual","形容詞","仮想の、バーチャルな; 実質的な","He started to enjoy virtual reality more than the real world.","彼は現実世界より仮想現実を楽しみ始めた。","/və́:rtʃuəl/","","real","6"
"61","betray","動詞","～を裏切る、～に背く; ～を売り渡す、暴露する","She didn't trust the man as he'd betrayed her before.","以前彼が裏切ったため、彼女はその男を信用していなかった。","/bitréi/","sell (out), give away; demonstrate, display","","4"
"62","possibility","名詞","可能性、実現性; 将来性、展望","The terrorist attack increased the possibility of war between the two countries.","テロリストの攻撃により、2国間で戦争が起こる可能性が高まった。","/pɔ̀səbíləti/","potential, prospect, probability, viability","","2"
"63","assure","動詞","(人)に保証する、請け合う","The builders assured the customer they'd be finished by winter.","冬までには完成すると、造成業者は客に請け合った。","/əʃúə/","ensure, guarantee","","4"
"64","gender","名詞","(社会的・文化的な意味合いの)性、性別、ジェンダー","Gender equality is an important research topic for many legal scholars.","ジェンダー平等は、多くの法学者にとって重要な研究課題である。","/dʒéndə/","","","8"
"65","repair","動詞","～を修理する、修繕する; ～を回復する; 修理、修復","A mechanic is often needed to repair a car engine.","修理工はエンジンを修理するためによく必要とされる。","/ripéə/","mend, overhaul","break, destruct, harm","2"
"66","adopt","動詞","～を採用する、導入する; ～を採択する; ～を養子にする","You need to adopt a more aggressive approach to the problem.","あなたはその問題に対してもっと積極的な手法を採用する必要がある。","/ədɔ́pt/","accept, use; raise, foster","reject, renounce","3"
"67","liberal","形容詞","寛大な、偏見のない; 自由主義の; 自由主義者","His parents have liberal views on religion.","彼の両親は宗教に関して寛大な考え方を持っている。","/líbərəl/","progressive","conservative","4"
"68","rapid","形容詞","迅速な、急な","The patient made a rapid recovery, which surprised the doctors.","その患者は迅速な回復を見せ、医者らを驚かせた。","/rǽpid/","fast, abrupt","slow","2"
"69","excess","名詞","超過、過剰","An excess of salt in your diet can lead to high blood pressure.","食事での塩分取り過ぎは高血圧につながる恐れがある。","/iksés/","surplus","","4"
"70","brochure","名詞","パンフレット、小冊子、カタログ、案内書","They browsed through the travel brochure to find a good destination.","良い目的地を見つけようと、彼らは旅行パンフレットに目を通した。","/bróuʃə/","booklet, leaflet, pamphlet","","7"
"71","mercy","名詞","慈悲、情け; 恵み、救い","The king showed mercy and didn't execute the prisoners.","王は慈悲を見せ、囚人たちを処刑しなかった。","/mə́:si/","benevolence, favour, kindness","","4"
"72","practical","形容詞/名詞","現実的な、実際的な; 実用的な / 実技試験; 実習","You ought to be more practical about the matter.","この件に関してもっと現実的にならなければならない。","/prǽktikəl/","pragmatic, useful","impractical, unrealistic","2"
"73","worm","名詞","虫; 寄生虫","Use this large worm as bait for fishing.","この大きな虫は釣りの餌にしたらいいよ。","/wə́:m/","","","3"
"74","extraordinary","形容詞","異常な、驚くべき; 並外れた、ずばぬけた","The extraordinary story of his escape was made into a book.","彼の脱出にまつわる驚くべき話は書籍化された。","/ikstrɔ́:dənəri/","abnormal, exceptional, uncommon, unusual, peculiar, odd","","4"
"75","raise","動詞","～を集める; ～を上げる; ～を増やす、高める","The charity managed to raise over £2 million for their cause.","チャリティーでは大義のためにどうにか200万ポンド以上を集めた。","/réiz/","grow, lift","","2"
"76","advance","動詞/名詞","～を前進(進歩)させる; 前進(進歩)する / 前進","The army advanced quickly through the countryside to the town.","陸軍は田園を素早く通過して町にたどり着いた。","/ədvɑ́:ns/","progress, approach","retreat, downgrade","3"
"77","celebrity","名詞","著名人、有名人; 名声","One problem of being a celebrity is strangers coming and talking to you.","セレブであることの問題の1つは、見知らぬ人が近寄ってきて話し掛けてくることだ。","/səlébrəti/","star, figure, icon, personality","","8"
"78","defeat","動詞","(敵)を負かす、打ち負かす、～に勝つ","The French army was defeated by the much more powerful German army.","フランス陸軍は、はるかに強力なドイツ陸軍に敗れた。","/difí:t/","beat, conquer, overwhelm, overcome","","3"
"79","clash","名詞/動詞","衝突、激突 / 衝突する、ぶつかり合う","The clash of cultures was causing conflict in the country.","文化の衝突は国内で対立を引き起こしていた。","/klǽʃ/","conflict, skirmish; collide, conflict","","6"
"80","brief","形容詞/名詞","簡潔な、手短な; 短い / 要約、概要","Please be brief as I only have 10 minutes before I need to leave.","出発するまで10分しかないので、手短にお願いします。","/brí:f/","compact, concise; abstract, summary","","4"
"81","address","動詞/名詞","～に対処する; ～で演説をする / 住所; 演説","We need to address his issues face-to-face instead of over the phone.","私たちは電話ではなく対面で彼の問題に取り組む必要がある。","/ədrés/","tackle, respond; location, directions; speech","","2"
"82","unlikely","形容詞","ありそうにない、可能性が低い","She's not very punctual, so it's unlikely she'll arrive before 8:00.","彼女は全然時間を守らないから、8時前に着くことはないと思うよ。","/ʌnláikli/","improbable","","4"
"83","meaningful","形容詞","意義のある、有意義な; 意味深長な","She had been drifting through life and was looking for something meaningful.","彼女は人生をさまよい、意義のあることを探していた。","/mí:niŋfəl/","important, significant","","8"
"84","accord","名詞","一致、合意、協定、条約","The results were in accord with the theory.","結果は理論と合致していた。","/əkɔ́:d/","harmony, agreement, treaty, consensus","","4"
"85","dubious","形容詞","疑わしい、怪しい; 疑わしく思う、疑って","The bad restaurant had a dubious number of positive reviews.","その悪いレストランには怪しげな数の高評価レビューがついていた。","/djú:biəs/","questionable, sceptical, suspicious, unreliable","","9"
"86","infectious","形容詞","(振る舞いなどが)伝染しやすい; (病気が)感染(伝染)性の","His smile was infectious and soon everybody felt much better.","彼の笑顔につられて笑っていたら、すぐに皆の気分は良くなった。","/infékʃəs/","contagious","","6"
"87","ravage","動詞/名詞","～を荒廃させる、ひどく破壊する / 破壊(行為)","The forest and wildlife were ravaged by the fire.","火事により森林と野生生物は甚大な被害を受けた。","/rǽvidʒ/","destroy, devastate, ruin","","9"
"88","smuggle","動詞","～を密輸する; ～を密入国させる","They were caught at the airport trying to smuggle illegal drugs into the country.","彼らはこの国に違法薬物を密輸しようとして空港で逮捕された。","/smʌ́gl/","","","8"
"89","distance","名詞","距離、隔たり","The distance between London and Berlin is greater than that between London and Paris.","ロンドンとベルリンとの距離は、ロンドンとパリより遠い。","/dístəns/","length","","2"
"90","flee","動詞","(危険などから)逃げる、逃れる","The people had to flee from the approaching tsunami.","人々は迫り来る津波から逃げなければならなかった。","/flí:/","escape, run away, run off","","4"
"91","tool","名詞","道具、工具; 商売道具、手段","A spanner is an essential tool for changing a tyre.","スパナは、タイヤ交換に必須の道具です。","/tú:l/","instrument, device, gadget","","2"
"92","hedge","名詞/動詞","生け垣、垣根; 防御策 / 言葉を濁す、はぐらかす","The gardener pruned the hedge so it didn't cover the pavement.","歩道をふさがないように庭師は生け垣を刈り込んだ。","/hédʒ/","barricade, barrier, fence; enclose","","5"
"93","equity","名詞","株、株式; 公正、公平","He made a huge profit from selling his equity in the company.","彼は会社の株式を売却して巨額の利益を得た。","/ékwəti/","stock, share, justice","","8"
"94","turmoil","名詞","騒動、騒ぎ、混乱","His internal turmoil started taking a physical toll.","彼の心の乱れは肉体的影響として表れ始めた。","/tə́:rmɔil/","anxiety, confusion, disturbance, turbulence, unrest","","8"
"95","temporarily","副詞","一時的に、少しの間、つかの間","During a fire, the lift will temporarily be out of order.","火災の際にはエレベーターは一時的に使用できなくなる。","/témpərərəli/","provisionally","permanently","7"
"96","construct","動詞","～を建設する、組み立てる; ～を構成する","The government decided to construct a monument to the survivors.","政府は遺族のために記念碑を建設することを決定した。","/kənstrʌ́kt/","assemble, erect, invent, found","","4"
"97","precise","形容詞","正確な、ぴったりな; 詳細な、精密な","The scientist's solution needed precise quantities of chemicals.","その科学者のやり方には正確な分量の薬品が必要だった。","/prisáis/","accurate, exact, proper","","4"
"98","explain","動詞","～を説明する、明らかにする","The teacher attempted to explain the word in a simpler way.","先生はもっと簡単な方法でその言葉を説明しようとした。","/ikspléin/","clarify, illustrate, attribute","confuse","2"
"99","concert","名詞","コンサート、演奏会; (in concert with)～と協力して","They attended the concert and really enjoyed the music.","彼らはコンサートに行って、音楽を心から楽しんだ。","/kɔ́nsət/","","","2"
"100","environment","名詞","環境、周囲の状況","The increase in the number of factories had started to damage the environment.","工場の数が増加して環境が破壊され始めた。","/inváiərənmənt/","surroundings, background","","3"
"101","attraction","名詞","呼び物、名所; 魅力、引き付ける力","London is a great attraction for tourists for several reasons.","ロンドンはさまざまな理由から観光客にとって大いに魅力ある場所である。","/ətrækʃən/","","","4"
"102","anatomy","名詞","解剖、解剖学; (人体・動植物の)解剖学的構造","Doctors have to study the human anatomy in great detail.","医者は人体解剖学について詳細に学ばなければならない。","/ənætəmi/","analysis, biology","","8"
"103","quantify","動詞","～を数値化する、定量化する; ～の量を量る","It's always difficult to quantify how many people lose their lives in wars.","戦争でどれだけの人が死亡したかを数値化するのは難しい。","/kwɔ́ntəfài/","","","N/A"
"104","interpretation","名詞","解釈、理解; 通訳; 役作り","The critic's interpretation of the painting was vastly different from the artist's intention.","批評家によるその絵画の解釈は、芸術家の意図とはかけ離れたものだった。","/intə̀:prətéiʃən/","clarification, explanation, rendition","","6"
"105","rate","名詞","率、度合い、割合、比率","Due to harsh economic conditions, the unemployment rate has increased.","厳しい経済状況により失業率は上昇した。","/réit/","grade","","2"
"106","shelter","名詞","避難所、隠れ場所; 保護施設","As a tornado was coming, they desperately sought some shelter.","竜巻が近づいていたので、彼らは必死に避難先を探した。","/ʃéltə/","sanctuary","","4"
"107","recommend","動詞","～を薦める; ～を推奨する","The teacher recommended a textbook to help her students revise.","先生は生徒たちに、復習に役立つ教科書を1冊薦めた。","/rèkəménd/","commend","","3"
"108","weigh","動詞","～の重さを量る; (weigh out)～を量り分ける","The butcher weighed out 500 grams of beef for his customer.","肉屋はお客のために牛肉500gを量り分けた。","/wéi/","","","2"
"109","sanctuary","名詞","避難、保護; 聖域; 禁猟区","Hundreds of refugees sought sanctuary in neighbouring countries.","何百人もの難民が近隣諸国に保護を求めた。","/sǽŋktʃuəri/","haven, shelter","","9"
"110","familiar","形容詞","なじみのある、よく目(耳)にする; よく知っている","I believe I've seen her before because her face seems familiar.","彼女の顔には見覚えがあるので、きっと以前に会ったことのある人だと思う。","/fəmíljə/","knowledgeable, usual","","2"
"111","embarrass","動詞","～を気まずくさせる、～に恥ずかしい思いをさせる","Her younger brother told everyone about the incident to embarrass her.","彼女の弟は、彼女に恥をかかせてやろうと、その出来事について皆に教えた。","/imbǽrəs/","annoy, shame, upset","","5"
"112","unspoilt","形容詞","自然な姿の、手つかずの","The increasing tourist industry has ruined this once unspoilt coastline.","観光産業の拡大により、かつては手つかずだったこの海岸線が荒廃した。","/ʌnspɔ́ilt/","","","N/A"
"113","practitioner","名詞","開業医、開業者、専門家; 実践者、熟練者","In the UK, when people have a health problem, they see their general practitioner.","イギリスの人々は、健康に問題があると一般開業医に診てもらう。","/præktíʃənə/","guru","","8"
"114","tend","動詞","世話をする; ～の手入れをする","He needed to find someone who would tend to his tortoise before departing for Mozambique.","モザンビークに向け出発するに先立ち、彼はカメの面倒を見てくれる人を見つけなくてはならなかった。","/ténd/","look after, lean","","3"
"115","consistent","形容詞","首尾一貫した、不変の、堅実な","He was consistent in that he always came third in class tests.","学級試験でいつも3位だったという点で彼は一貫していた。","/kənsístənt/","coherent, persistent, steady","","5"
"116","serendipity","名詞","セレンディピティ、めぐり合わせ、奇遇","Many ground breaking discoveries are a mere serendipity.","画期的な発見の多くは、単なるセレンディピティである。","/sèrandípəti/","fortune, break, coincidence","","5"
"117","majestic","形容詞","堂々とした、威厳のある、荘厳な、雄大な","The pretty Swiss village was surrounded by majestic mountain scenery.","その美しいスイスの村は荘厳な山岳風景に囲まれていた。","/məʤéstik/","grandiose, heroic, magnificent, stately","","8"
"118","draft","名詞/動詞","草稿、草案、下書き / 草案を書く、下書きを書く","The final draft of your essay is due next Friday.","あなたの小論文の最終原稿の締め切りは来週の金曜です。","/drá:ft/","outline, blueprint, compose","","4"
"119","laden","形容詞","荷を積み込んだ、いっぱい載せた、どっさり積み込んだ","The cart was laden with goods for the market.","その荷車は市場に出す品物をどっさり積んでいた。","/léidn/","burdened","","N/A"
"120","implement","動詞/名詞","(政策・契約など)を実行する、履行する / 道具、用具","The country decided to implement the new education curriculum school by school.","国は新しい教育カリキュラムを学校ごとに実施することを決定した。","/ímpləmənt/ (名), /ímpləmènt/ (動)","administer, apply, enforce, execute","","5"
"121","crowd","名詞","群衆、人混み","The crowd slowly left at the end of the rally.","群衆は大会が終わり徐々に帰り出した。","/kráud/","assembly","","2"
"122","observe","動詞","～を観察する、観測する; ～に気付く、～を分かる","The scientists observed and recorded the gorillas' actions.","学者たちはゴリラの行動を観察し記録した。","/əbzə́:rv/","follow, note, obey, discern","","3"
"123","composition","名詞","構成、構造; 作品、作文","The poem had excellent composition and was very meaningful.","その詩は構成が素晴らしく、訴えるものがあった。","/kɔ̀mpəzíʃən/","arrangement, configuration, pattern; piece, work","","3"
"124","offence","名詞","憤慨させるもの; 攻撃、襲撃; 違反行為","Such an action is an offence to all the people in this world.","このような行動は世界中の人々を憤慨させるものである。","/əféns/","attack","defence","3"
"125","global","形容詞","世界的な、地球規模の; 全体的な、包括的な","Smog was cited as a major factor contributing to global warming.","地球温暖化をもたらす主な要因の1つにスモッグが挙げられていた。","/glóubəl/","universal, worldwide","","3"
"126","hostage","名詞","人質","The bank robbers had several hostages to deter the police from coming in.","銀行強盗たちは警察に突入を思いとどまらせるため数人の人質を置いていた。","/hɔ́stidʒ/","captive, prisoner","","8"
"127","personnel","名詞","全職員、社員; 人事課、人事部","Only authorised personnel have access to the computer system.","権限のある職員だけがコンピューターシステムにアクセスできる。","/pə̀:rsənél/","staff","","6"
"128","desirable","形容詞","好ましい、望ましい","To teach at this university, it is desirable that you have a master's degree.","本学で教える者は、修士号を保有していることが望ましい。","/dizáiərəbl/","advisable, advantageous, preferable","undesirable, inadvisable","4"
"129","settle","動詞","～を解決する、～に決着をつける; 移住する; 落ち着く","The two friends soon settled their dispute.","2人の友人はすぐに口論に決着をつけた。","/sétl/","solve, resolve; colonise","","3"
"130","leader","名詞","リーダー、指導者; 先頭に立つ人、首位の者","Napoleon is known as one of the greatest leaders in history.","ナポレオンは歴史上最も優れた指導者の1人として知られている。","/lí:də/","captain, foreman, head, master","","2"
"131","spread","動詞","まん延する、～を広げる; 広がる、普及する","The flu spread throughout the school as students passed it to one another.","インフルエンザは生徒から生徒へと感染し学校中に広がった。","/spréd/","sprawl","","2"
"132","praise","動詞/名詞","～を称賛する、(神)を賛美する / 称賛; 神への賛美","It is important to praise students when they do well.","生徒が良い成績をおさめたときは彼らを褒めることが大切だ。","/préiz/","applaud, honour; applause, compliment","criticise","N/A"
"133","competency","名詞","能力、適性","Engineering students are required to show competency in mathematics and physics.","工学部の学生は数学と物理の能力を示さなければならない。","/kɔ́mpətənsi/","capability","","N/A"
"134","perish","動詞","死ぬ、滅びる; 消滅する","All the flowers in the back garden will perish when the snow comes.","裏庭の花は全て、雪が降ると枯れてしまうだろう。","/périʃ/","die, pass away","","5"
"135","urgent","形容詞","(物事が)緊急の、差し迫った","After the crash, many people were in urgent need of medical attention.","事故の後、多数の人々が直ちに治療を必要としていた。","/ə́:rdʒənt/","acute, critical, dire, immediate","","4"
"136","figure","名詞/動詞","(重要な)人物、名士; 図表; 数字 / ～と判断する","Newton was an important figure in both maths and science.","数学と科学のいずれにおいても、ニュートンは重要な人物だった。","/fígə/","icon, illustration, outline, celebrity","","2"
"137","pale","形容詞","(人が)顔色の悪い、(顔色などが)青白い","She used a lot of sunblock lotion due to her pale skin.","彼女は肌が青白いので日焼け止めローションをたっぷり使った。","/péil/","","","3"
"138","novice","名詞","初心者、初学者、未経験者","She needed an instructor as she was a complete novice skier.","スキーは完全に初心者だったので、彼女にはインストラクターが必要だった。","/nɔ́vis/","apprentice, beginner, rookie","","8"
"139","haul","動詞/名詞","(重いもの)を引きずる、輸送する / 盗品の山; 道のり","This truck can haul two tons of garbage.","このトラックは2トンのごみを運ぶことができる。","/hɔ́:l/","carry, drag, lug","","7"
