"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"52","up","前置詞/副詞","上","Look up at the sky.","空を見上げて。","","","",""
"53","some","代名詞","いくつかの","I bought some apples.","りんごをいくつか買いました。","","","",""
"54","other","形容詞","他の","The other book is blue.","他の本は青いです。","","","",""
"55","out","前置詞/副詞","外","Let’s go out for dinner.","夕食に出かけましょう。","","","",""
"56","good","形容詞","良い","She did a good job.","彼女はよくやった。","","","",""
"57","people","名詞","人々","People are gathering at the park.","人々が公園に集まっています。","","","",""
"58","year","名詞","年","New Year celebrations are fun.","新年の祝いは楽しい。","","","",""
"59","take","動詞","取る","Take a deep breath.","深呼吸して。","","","",""
"60","no","否定詞","いいえ","No entry beyond this point.","この先、立入禁止。","","","",""
"61","well","副詞","良い","All’s well that ends well.","終わりよければすべてよし。","","","",""
"62","because","接続詞","なぜなら","I stayed in because it rained.","雨だったので家にいました。","","","",""
"63","very","副詞","とても","I’m very excited about the trip.","旅行がとても楽しみです。","","","",""
"64","just","副詞","ただ","I just finished my work.","仕事を終えたところです。","","","",""
"65","come","動詞","来る","Come join us for the game.","ゲームに参加してください。","","","",""
"66","could","助動詞","できた","Could you pass the salt?","塩を取ってもらえますか？","","","",""
"67","work","名詞/動詞","仕事","I’ll work from home today.","今日は家から仕事をします。","","","",""
"68","use","名詞/動詞","使用","I use a pen to write.","私はペンで書きます。","","","",""
"69","than","接続詞","よりも","He’s taller than his brother.","彼は彼の兄よりも背が高い。","","","",""
"70","now","副詞","今","I’m busy right now.","今、忙しいです。","","","",""
"71","then","副詞","それから","First eat, then play.","先に食べて、それから遊ぶ。","","","",""
"72","also","副詞","また","I also want a piece of cake.","私もケーキの一切れが欲しい。","","","",""
"73","into","前置詞","の中へ","Dive into the pool.","プールに飛び込む。","","","",""
"74","only","副詞","のみ","Only one piece left.","一つだけ残っています。","","","",""
"75","look","動詞","見て","Look before you leap.","飛ぶ前によく見る。","","","",""
"76","want","動詞","欲しい","I want a sandwich.","サンドイッチが欲しい。","","","",""
"77","give","動詞","与える","Give a little, gain a lot.","少し与えれば、多くを得る。","","","",""
"78","first","形容詞/副詞","初め","First come, first served.","先着順。","","","",""
"79","new","形容詞","新しい","I bought a new dress.","新しいドレスを買いました。","","","",""
"80","way","名詞","方法","Show me the way to the station.","駅への道を教えてください。","","","",""
"81","find","動詞","探す","Find a penny, pick it up.","ペニーを見つけたら、拾う。","","","",""
"82","over","前置詞/副詞","以上","The game is over.","ゲームは終了しました。","","","",""
"83","any","代名詞","どれでも","Any volunteers for the task?","そのタスクのボランティアはいますか？","","","",""
"84","after","前置詞","後","After the rain, there’s a rainbow.","雨の後には虹が出る。","","","",""
"85","day","名詞","日","It’s a beautiful day.","美しい日です。","","","",""
"86","where","副詞","どこ","Where is my umbrella?","私の傘はどこですか？","","","",""
"87","thing","名詞","もの","The thing is, I forgot.","実は、忘れてしまいました。","","","",""
"88","most","副詞","ほとんど","Most students passed the exam.","ほとんどの生徒が試験に合格しました。","","","",""
"89","should","助動詞","すべき","You should wear a coat.","コートを着るべきです。","","","",""
"90","need","動詞","必要","I need a break.","休憩が必要です。","","","",""
"91","much","副詞","多くの","Too much of anything is bad.","何事も過ぎたるは及ばざるが如し。","","","",""
"92","right","副詞/名詞","右","Turn right at the corner.","角を右に曲がって。","","","",""
"93","how","副詞","どうやって","How are you?","お元気ですか？","","","",""
"94","back","副詞/名詞","戻る","I’ll be right back.","すぐ戻ります。","","","",""
"95","mean","動詞","意味","What do you mean?","どういう意味ですか？","","","",""
"96","even","副詞","平","Even numbers are divisible by two.","偶数は2で割り切れる。","","","",""
"97","may","助動詞","かもしれない","May I join you?","一緒に参加してもいいですか？","","","",""
"98","here","副詞","ここ","Your keys are here.","あなたの鍵はここにあります。","","","",""
"99","many","代名詞","多くの","How many apples do you have?","りんごは何個持っていますか？","","","",""
"100","such","形容詞","そのような","Such is life.","それが人生です。","","","",""
"101","last","形容詞","最後","This is the last piece of pie.","これは最後のパイの一片です。","","","",""
"102","child","名詞","子供","Every child is unique.","すべての子供はユニークです。","","","",""
"103","tell","動詞","教えて","Can you tell me a story?","私に物語を教えてくれますか？","","","",""
"104","really","副詞","本当に","I really like this song.","この曲が本当に好きです。","","","",""
"105","call","動詞","電話","Give me a call later.","あとで電話してください。","","","",""
"106","before","前置詞","前に","Wash your hands before eating.","食事の前に手を洗ってください。","","","",""
"107","company","名詞","会社","She started her own company.","彼女は自分の会社を立ち上げました。","","","",""
"108","through","前置詞","を通して","Walk through the door.","ドアを通って歩いてください。","","","",""
"109","down","前置詞","下","The prices went down.","価格が下がりました。","","","",""
"110","show","動詞","見せる","Let me show you the way.","道をお見せしましょう。","","","",""
"111","life","名詞","人生","Life is full of surprises.","人生は驚きに満ちています。","","","",""
"112","man","名詞","男","The old man sat on the bench.","老人はベンチに座っていました。","","","",""
"113","change","動詞","変化","Change is the only constant.","変化は唯一の不変です。","","","",""
"114","place","名詞","場所","This is my favorite place.","これは私のお気に入りの場所です。","","","",""
"115","long","形容詞","長さ","It’s a long journey.","長い旅です。","","","",""
"116","between","前置詞","間","The secret is between us.","秘密は私たちの間です。","","","",""
"117","feel","動詞","感じる","I feel happy today.","今日は幸せを感じます。","","","",""
"118","too","副詞","あまりにも","I ate too much ice cream.","アイスクリームを食べ過ぎました。","","","",""
"119","still","副詞","まだ","The water is still.","水は静かです。","","","",""
"120","problem","名詞","問題","We need to solve this problem.","この問題を解決する必要があります。","","","",""
"121","write","動詞","書く","I’ll write you a letter.","手紙を書きます。","","","",""
"122","same","形容詞","同じ","We have the same interests.","私たちは同じ興味を持っています。","","","",""
"123","lot","名詞","多く","I have a lot to do.","やることがたくさんあります。","","","",""
"124","great","形容詞","素晴らしい","You did a great job.","素晴らしい仕事をしました。","","","",""
"125","try","動詞","試す","Try your best.","最善を尽くしてください。","","","",""
"126","leave","動詞","離れる","Don’t leave your bag here.","ここに鞄を置かないでください。","","","",""
"127","number","名詞","番号","What’s your phone number?","あなたの電話番号は何ですか？","","","",""
"128","both","代名詞","両方","Both options are good.","両方の選択肢は良いです。","","","",""
"129","own","形容詞","自分の","I own a small cafe.","小さなカフェを所有しています。","","","",""
"130","part","名詞","一部","I did my part of the work.","仕事の私の部分をやりました。","","","",""
"131","point","名詞","ポイント","Point me in the right direction.","正しい方向を指示してください。","","","",""
"132","little","形容詞","少し","A little sugar, please.","少し砂糖をください。","","","",""
"133","help","動詞","ヘルプ","Can you help me?","私を助けてくれますか？","","","",""
"134","ask","動詞","聞く","Ask before you take.","取る前に尋ねてください。","","","",""
"135","meet","動詞","会う","Let’s meet at the park.","公園で会いましょう。","","","",""
"136","start","動詞","始める","Start where you are.","今いる場所から始めてください。","","","",""
"137","talk","動詞","話す","Let’s talk about it.","それについて話しましょう。","","","",""
"138","something","代名詞","何か","Something smells good.","何かいい匂いがする。","","","",""
"139","put","動詞","置く","Put the book on the shelf.","本を棚に置いてください。","","","",""
"140","another","代名詞","別の","Another day, another adventure.","新しい日、新しい冒険。","","","",""
"141","become","動詞","なる","She wants to become a doctor.","彼女は医者になりたい。","","","",""
"142","interest","名詞","興味","I have an interest in painting.","私は絵画に興味があります。","","","",""
"143","country","名詞","国","Traveling to another country is exciting.","別の国への旅行はワクワクします。","","","",""
"144","old","形容詞","古い","My old school was different.","私の前の学校は違っていました。","","","",""
"145","each","代名詞","それぞれ","Each student got a certificate.","それぞれの生徒が証明書をもらいました。","","","",""
"146","school","名詞","学校","School starts at 8 am.","学校は午前8時に始まります。","","","",""
"147","late","形容詞","遅い","I woke up late today.","今日は遅く起きました。","","","",""
"148","high","形容詞","高い","The mountains are high.","山は高いです。","","","",""
"149","different","形容詞","違う","We have different opinions.","私たちは異なる意見を持っています。","","","",""
"150","off","前置詞","オフ","Turn off the lights.","電気を消してください。","","","",""
"151","next","前置詞/形容詞","次","Next time, I’ll be prepared.","次回は、準備しておきます。","","","",""
"152","end","名詞","終わり","All good things must end.","良いことにも終わりがある。","","","",""
"153","live","動詞","ライブ","Live in the moment.","今を生きる。","","","",""
"154","why","副詞","なぜ","Why is the sky blue?","なぜ空は青いのですか？","","","",""
"155","while","接続詞","その間","Whistle while you work.","仕事をしながら口笛を吹く。","","","",""
"156","world","名詞","世界","Travel the world.","世界を旅する。","","","",""
"157","week","名詞","週","I’ll see you next week.","来週お会いしましょう。","","","",""
"158","play","動詞","遊ぶ","Let’s play a game.","ゲームをしましょう。","","","",""
"159","might","助動詞","かもしれない","She might come to the party.","彼女はパーティーに来るかもしれません。","","","",""
"160","must","助動詞","しなければならない","You must study for the test.","テストのために勉強する必要があります。","","","",""
"161","home","名詞","家","Home is where the heart is.","心があるところが家です。","","","",""
"162","never","副詞","一度もない","Never say never.","絶対に言ってはいけない。","","","",""
"163","include","動詞","含む","The package includes a gift.","パッケージにはギフトが含まれています。","","","",""
"164","course","名詞","コース","Of course, you’re invited.","もちろん、あなたは招待されています。","","","",""
"165","house","名詞","家","The house is painted blue.","家は青く塗られています。","","","",""
"166","report","名詞","報告","I’ll report back to you.","あなたに報告します。","","","",""
"167","group","名詞","グループ","We worked in a group.","私たちはグループで働きました。","","","",""
"168","case","名詞","場合","In case of rain, bring an umbrella.","雨の場合は、傘を持ってきてください。","","","",""
"169","woman","名詞","女性","The woman in red is my aunt.","赤い服を着ている女性は私の叔母です。","","","",""
"170","around","前置詞","その周り","Walk around the park.","公園を歩き回る。","","","",""
"171","book","名詞","本","I love reading books.","私は本を読むのが大好きです。","","","",""
"172","family","名詞","家族","Family is everything.","家族はすべてです。","","","",""
"173","seem","動詞","思われる","You seem happy.","あなたは幸せそうです。","","","",""
"174","let","動詞","させて","Let it go.","それを放って。","","","",""
"175","again","副詞","また","Try again.","もう一度やってみて。","","","",""
"176","kind","名詞","親切","Be kind to others.","他人に優しくする。","","","",""
"177","keep","動詞","保つ","Keep the change.","お釣りはそのままで。","","","",""
"178","hear","動詞","聞く","I can hear the birds.","鳥の声が聞こえます。","","","",""
"179","system","名詞","システム","The system needs an update.","システムにはアップデートが必要です。","","","",""
"180","every","代名詞","毎","Every cloud has a silver lining.","どんな暗雲にも銀の縁がある。","","","",""
"181","question","名詞","質問","I have a question.","質問があります。","","","",""
"182","during","前置詞","その間","I slept during the flight.","飛行中に寝ました。","","","",""
"183","always","副詞","いつも","Always be yourself.","いつも自分自身でいること。","","","",""
"184","big","形容詞","大きい","Dream big.","大きく夢を見る。","","","",""
"185","set","動詞","セット","Set the table for dinner.","夕食のためのテーブルをセットする。","","","",""
"186","small","形容詞","小さい","Small steps lead to big changes.","小さなステップが大きな変化をもたらす。","","","",""
"187","study","動詞","勉強","I study every day.","毎日勉強しています。","","","",""
"188","follow","動詞","フォローする","Follow your heart.","心の声を聞いて。","","","",""
"189","begin","動詞","始める","Let’s begin the lesson.","レッスンを始めましょう。","","","",""
"190","important","形容詞","重要","Health is important.","健康は重要です。","","","",""
"191","since","前置詞","以来","I haven’t seen him since Monday.","月曜日以来彼に会っていません。","","","",""
"192","run","動詞","走る","I run every morning.","毎朝走っています。","","","",""
"193","under","前置詞","下","The cat is under the table.","猫はテーブルの下にいます。","","","",""
"194","turn","動詞","振り向く","Turn the page.","ページをめくる。","","","",""
"195","few","代名詞","少し","Only a few tickets are left.","残りのチケットはわずかです。","","","",""
"196","bring","動詞","持ってくる","Bring your books tomorrow.","明日、本を持ってきてください。","","","",""
"197","early","形容詞","早い","The early bird catches the worm.","早起きは三文の得。","","","",""
"198","hand","名詞","手","Give me a hand with this.","これを手伝ってください。","","","",""
"199","state","名詞","州","The state of affairs is complex.","事態は複雑です。","","","",""
"200","move","動詞","動く","It’s time to move on.","進む時です。","","","",""
"201","money","名詞","お金","Money can’t buy happiness.","お金で幸福は買えない。","","","",""
"202","fact","名詞","事実","The fact remains undisputed.","その事実は議論の余地がない。","","","",""
"203","however","接続詞","しかし","I like it, however, it’s too expensive.","それが好きだけど、高すぎる。","","","",""
"204","area","名詞","エリア","This area is restricted.","このエリアは制限されています。","","","",""
"205","provide","動詞","提供する","They provide excellent service.","彼らは優れたサービスを提供しています。","","","",""
"206","name","名詞","名前","My name is written on the book.","その本に私の名前が書かれています。","","","",""
"207","read","動詞","読む","I love to read before bedtime.","就寝前に読むのが好きです。","","","",""
"208","friend","名詞","友達","My friend is visiting from another city.","私の友人が別の都市から訪れています。","","","",""
"209","month","名詞","月","I’ll be away for a month.","1ヶ月留守にします。","","","",""
"210","large","形容詞","大きい","She has a large collection of books.","彼女は多くの本を持っています。","","","",""
"211","business","名詞","仕事","He started his own business.","彼は自分のビジネスを始めました。","","","",""
"212","without","前置詞","それなし","I can’t imagine my life without music.","音楽なしの生活は想像できません。","","","",""
"213","information","名詞","情報","The information is confidential.","情報は秘密です。","","","",""
"214","open","動詞","開ける","Open the window for some fresh air.","新鮮な空気を取り入れるために窓を開けてください。","","","",""
"215","order","名詞","注文","I’d like to order a pizza.","ピザを注文したいです。","","","",""
"216","government","名詞","政府","The government issued a new policy.","政府は新しい方針を発表しました。","","","",""
"217","word","名詞","言葉","A word of advice can go a long way.","一つのアドバイスが大きな助けとなることがある。","","","",""
"218","issue","名詞","問題","We need to address the issue immediately.","この問題を直ちに取り組む必要があります。","","","",""
"219","market","名詞","市場","The market is bustling with activity.","市場は活気に満ちています。","","","",""
"220","pay","動詞","支払う","You have to pay before you leave.","去る前に支払いが必要です。","","","",""
"221","build","動詞","建てる","They plan to build a new mall.","彼らは新しいモールを建設する予定です。","","","",""
"222","hold","動詞","所有","Hold my hand.","私の手を握って。","","","",""
"223","service","名詞","サービス","The service at the restaurant was exceptional.","レストランのサービスは特別でした。","","","",""
"224","against","前置詞","に対して","We decided against going out.","私たちは外出をやめることにしました。","","","",""
"225","believe","動詞","信じる","I believe in miracles.","奇跡を信じています。","","","",""
"226","second","名詞","2番","Wait a second.","ちょっと待って。","","","",""
"227","though","接続詞","けれど","I’d come, though I’m a bit busy.","来たいけど、ちょっと忙しいです。","","","",""
"228","yes","感嘆詞","はい","Yes, I agree with you.","はい、あなたに同意します。","","","",""
"229","love","名詞/動詞","愛","Love conquers all.","愛はすべてを克服する。","","","",""
"230","increase","動詞","増加","The prices are set to increase next month.","価格は来月上がる予定です。","","","",""
"231","job","名詞","仕事","She got a new job.","彼女は新しい仕事を得ました。","","","",""
"232","plan","名詞","プラン","Let’s plan a trip.","旅行を計画しましょう。","","","",""
"233","result","名詞","結果","The result will be announced tomorrow.","結果は明日発表されます。","","","",""
"234","away","副詞","離れて","She moved away last year.","彼女は去年引っ越しました。","","","",""
"235","example","名詞","例","Lead by example.","良い手本を示して導く。","","","",""
"236","happen","動詞","起こる","Accidents happen.","事故は起こりうる。","","","",""
"237","offer","動詞","オファー","They offer a discount on weekends.","週末には割引があります。","","","",""
"238","young","形容詞","若い","Young minds are curious.","若い心は好奇心旺盛です。","","","",""
"239","close","形容詞","近い","Close the door gently.","ドアをそっと閉めてください。","","","",""
"240","program","名詞","プログラム","The program starts at 5 pm.","プログラムは午後5時に始まります。","","","",""
"241","lead","動詞","鉛","Lead the way.","先導してください。","","","",""
"242","buy","動詞","買う","I want to buy a new dress.","新しいドレスを買いたいです。","","","",""
"243","understand","動詞","理解する","I understand your concern.","あなたの懸念を理解しています。","","","",""
"244","thank","動詞","感謝","Thank you for your help.","お手伝いありがとう。","","","",""
"245","far","副詞","遠い","The destination is far away.","目的地は遠いです。","","","",""
"246","today","名詞","今日","Today is a new day.","今日は新しい日です。","","","",""
"247","hour","名詞","時間","The meeting lasted an hour.","会議は1時間続きました。","","","",""
"248","student","名詞","学生","The student is eager to learn.","学生は学びたがっています。","","","",""
"249","face","名詞","顔","Face your fears.","恐怖に立ち向かう。","","","",""
"250","hope","動詞","希望","Hope keeps us going.","希望が私たちを前進させます。","","","",""
"251","idea","名詞","アイデア","I have an idea.","アイディアがあります。","","","",""
"252","cost","名詞","料金","How much does it cost?","それはいくらですか？","","","",""
"253","less","形容詞","少ない","Less is more.","少ない方が多い。","","","",""
"254","room","名詞","部屋","The room is spacious.","その部屋は広々としています。","","","",""
"255","until","前置詞","それまで","Wait until sunset.","夕日まで待って。","","","",""
"256","reason","名詞","理由","Everything happens for a reason.","すべてのことには理由がある。","","","",""
"257","form","名詞","形状","Fill out the form.","フォームに記入してください。","","","",""
"258","spend","動詞","過ごす","I want to spend time with family.","家族と時間を過ごしたい。","","","",""
"259","head","名詞","頭","Head towards the exit.","出口の方向へ進んで。","","","",""
"260","car","名詞","車","I bought a new car.","新しい車を買いました。","","","",""
"261","learn","動詞","学ぶ","Learn from your mistakes.","自分のミスから学ぶ。","","","",""
"262","level","名詞","レベル","The water level is rising.","水位が上昇しています。","","","",""
"263","person","名詞","人","Every person is unique.","すべての人はユニークです。","","","",""
"264","experience","名詞","経験","Experience is the best teacher.","経験は最高の教師です。","","","",""
"265","once","副詞","一度","Once upon a time.","昔々。","","","",""
"266","member","名詞","メンバー","He is a member of the club.","彼はクラブのメンバーです。","","","",""
"267","enough","形容詞","十分","Enough is enough.","これ以上はいらない。","","","",""
"268","bad","形容詞","悪い","It’s not a bad idea.","悪くないアイディアです。","","","",""
"269","city","名詞","市","The city never sleeps.","その都市は眠らない。","","","",""
"270","night","名詞","夜","The night is still young.","夜はまだ若い。","","","",""
"271","able","形容詞","できる","She’s able to solve the problem.","彼女は問題を解決できます。","","","",""
"272","support","動詞","サポート","We support your decision.","あなたの決定を支持します。","","","",""
"273","whether","接続詞","かどうか","I don’t know whether to go or stay.","行くべきか、残るべきかわからない。","","","",""
"274","line","名詞","ライン","Stand in line.","列に並んでください。","","","",""
"275","present","名詞","現在","Present your ideas clearly.","アイディアをはっきりと示してください。","","","",""
"276","side","名詞","側","Always look on the bright side.","いつも明るい面を見て。","","","",""
"277","quite","副詞","とても","It’s quite chilly outside.","外はかなり肌寒い。","","","",""
"278","although","接続詞","それでも","Although it rained, we had fun.","雨が降ったけれど、楽しかった。","","","",""
"279","sure","形容詞","もちろん","I’m sure about it.","それに関しては確信しています。","","","",""
"280","term","名詞","学期","It’s a short-term solution.","erm solution. – それは短期的な解決策です。","","","",""
"281","least","副詞","少しでも","At least you tried.","せめてあなたは試みました。","","","",""
"282","age","名詞","年","Age is just a number.","年齢はただの数字です。","","","",""
"283","low","形容詞","低い","Keep your voice low.","声を低くして。","","","",""
"284","speak","動詞","話す","Speak your mind.","思っていることを話す。","","","",""
"285","within","前置詞","内で","It’s within my reach.","私の手の届く範囲内です。","","","",""
"286","process","名詞","プロセス","It’s a lengthy process.","それは長いプロセスです。","","","",""
"287","public","形容詞","公共","The park is open to the public.","公園は一般公開されています。","","","",""
"288","often","副詞","頻繁","I visit my grandparents often.","私はよく祖父母を訪ねます。","","","",""
"289","train","名詞","電車","The train is on time.","電車は定刻です。","","","",""
"290","possible","形容詞","可能","Anything is possible.","何でも可能です。","","","",""
"291","actually","副詞","実は","I actually like it.","実際にそれが好きです。","","","",""
"292","rather","副詞","それよりも","I’d rather stay at home.","家にいた方がいい。","","","",""
"293","view","名詞","ビュー","The view from the hill is breathtaking.","丘からの眺めは息をのむようです。","","","",""
"294","together","副詞","一緒に","We’re in this together.","私たちはこれを一緒にやっています。","","","",""
"295","consider","動詞","考慮する","Consider all options.","すべての選択肢を検討してください。","","","",""
"296","price","名詞","価格","The price is reasonable.","価格は妥当です。","","","",""
"297","parent","名詞","親","Listen to your parents.","両親の言うことを聞いて。","","","",""
"298","hard","形容詞","難しい","Hard work pays off.","努力は報われる。","","","",""
"299","party","名詞","パーティー","The party was a blast.","そのパーティーは最高でした。","","","",""
"300","local","形容詞","地元","Support local businesses.","地元のビジネスをサポートしてください。","","","",""
"301","control","名詞","コントロール","Control your temper.","感情をコントロールしてください。","","","",""
"302","already","副詞","すでに","I’ve already seen this movie.","この映画はもう見ました。","","","",""
"303","concern","名詞","懸念","Your safety is our main concern.","あなたの安全が私たちの主な懸念です。","","","",""
"304","product","名詞","製品","This is a new product in the market.","これは市場の新製品です。","","","",""
"305","lose","動詞","失う","Don’t lose hope.","希望を失わないでください。","","","",""
"306","story","名詞","話","Every story has two sides.","どんな話にも二面性があります。","","","",""
"307","almost","副詞","ほとんど","I’m almost there.","もうすぐそこです。","","","",""
"308","continue","動詞","続く","Continue on this path.","この道を続けてください。","","","",""
"309","stand","動詞","立つ","Stand up for what you believe in.","信じるもののために立ち上がってください。","","","",""
"310","whole","形容詞","全体","The whole village celebrated.","村全体が祝いました。","","","",""
"311","yet","副詞","まだ","I haven’t finished yet.","まだ終わっていません。","","","",""
"312","rate","名詞","レート","The rate of growth is steady.","成長率は安定しています。","","","",""
"313","care","名詞","お手入れ","Handle with care.","注意して取り扱ってください。","","","",""
"314","expect","動詞","期待する","Expect the unexpected.","予期せぬことを期待してください。","","","",""
"315","effect","名詞","効果","The effect was immediate.","効果は即座に現れました。","","","",""
"316","sort","名詞","選別","Sort the files alphabetically.","ファイルをアルファベット順に並べてください。","","","",""
"317","ever","副詞","これまで","Best vacation ever.","これまでで最高の休暇です。","","","",""
"318","anything","代名詞","何でも","Anything is possible.","何でも可能です。","","","",""
"319","cause","名詞","原因","The cause is noble.","その原因は高潔です。","","","",""
"320","fall","動詞","秋","Leaves fall in autumn.","葉は秋に落ちる。","","","",""
"321","deal","名詞","取引","It’s a great deal.","それは素晴らしい取引です。","","","",""
"322","water","名詞","水","Drink plenty of water.","十分な水を飲んでください。","","","",""
"323","send","動詞","送信","Send me a message.","私にメッセージを送ってください。","","","",""
"324","allow","動詞","許可する","Allow yourself to dream.","夢を見ることを許してください。","","","",""
"325","soon","副詞","すぐ","I’ll see you soon.","また近いうちにお会いしましょう。","","","",""
"326","watch","動詞","時計","Watch the sunset.","夕日を見てください。","","","",""
"327","base","名詞","ベース","The base of the mountain is crowded.","山の麓は混雑しています。","","","",""
"328","probably","副詞","おそらく","It’s probably going to rain.","おそらく雨が降るでしょう。","","","",""
"329","suggest","動詞","提案する","May I suggest a dessert?","デザートを提案してもよろしいですか？","","","",""
"330","past","名詞","過去","Learn from the past.","過去から学び取ってください。","","","",""
"331","power","名詞","力","Knowledge is power.","知識は力です。","","","",""
"332","test","名詞","テスト","The test results came in.","テストの結果が出ました。","","","",""
"333","visit","動詞","訪問","I’ll visit my grandparents tomorrow.","明日、私の祖父母を訪ねます。","","","",""
"334","center","名詞","中心","Meet me at the center of the park.","公園の中心で私に会ってください。","","","",""
"335","grow","動詞","育つ","Plants grow towards the light.","植物は光の方向に成長します。","","","",""
"336","nothing","代名詞","何もない","Nothing is impossible.","何も不可能ではありません。","","","",""
"337","return","動詞","戻る","Please return the book.","本を返してください。","","","",""
"338","mother","名詞","母親","My mother is my hero.","私の母は私のヒーローです。","","","",""
"339","walk","動詞","歩く","Let’s take a walk.","散歩しましょう。","","","",""
"340","matter","名詞","案件","It doesn’t matter.","それは問題ではありません。","","","",""
"341","mind","名詞","心","Mind your manners.","礼儀を守ってください。","","","",""
"342","value","名詞","価値","Value the time you have.","所有している時間を大切にしてください。","","","",""
"343","office","名詞","オフィス","The office is closed today.","今日、オフィスは閉まっています。","","","",""
"344","record","名詞","記録","Set a new record.","新しい記録を設定してください。","","","",""
"345","stay","動詞","滞在する","Stay with me.","私のそばにいてください。","","","",""
"346","force","名詞","力","Force is not necessary.","力は必要ありません。","","","",""
"347","stop","動詞","停止","Stop at the red light.","赤信号で止まってください。","","","",""
"348","several","代名詞","いくつかの","Several attempts were made.","いくつかの試みが行われました。","","","",""
"349","light","名詞","ライト","Light up the room.","部屋を明るくしてください。","","","",""
"350","develop","動詞","開発する","Develop a new skill.","新しいスキルを身につけてください。","","","",""
"351","remember","動詞","覚えて","Remember to smile.","笑顔を忘れずに。","","","",""
