番号,単語,訳,品詞,例文,訳文
71,exchange,交換; 交流,名詞,We had a frank exchange of views.,私たちは率直な意見交換をした。(AI生成)
72,otherwise,そうでなければ,副詞,You must hurry, otherwise you will miss the train.,急がなければ、さもないと電車に乗り遅れるよ。(AI生成)
73,essential,必要不可欠な,形容詞,Water is essential for life.,水は生命にとって不可欠だ。(AI生成)
74,function,機能,名詞,The main function of the heart is to pump blood.,心臓の主な機能は血液を送り出すことだ。(AI生成)
75,slightly,少し; わずかに,副詞,I feel slightly better today.,今日は少し気分が良い。(AI生成)
76,aid,援助; 手伝い,名詞,They sent financial aid to the refugees.,彼らは難民に財政援助を送った。(AI生成)
77,transport,輸送,名詞,Public transport is very reliable here.,ここでは公共交通機関がとても信頼できる。(AI生成)
78,civil,民間の; 一般市民の,形容詞,Civil rights are protected by the constitution.,市民権は憲法によって守られている。(AI生成)
79,hardly,ほとんど〜ない,副詞,I can hardly hear you.,あなたの声がほとんど聞こえません。(AI生成)
80,obvious,明白な,形容詞,It is obvious that he is lying.,彼が嘘をついているのは明白だ。(AI生成)
81,organisation,組織; 団体,名詞,She works for a non-profit organisation.,彼女は非営利団体で働いている。(AI生成)
82,principle,原則; 信条,名詞,He is a man of principle.,彼は信念の人だ。(AI生成)
83,stock,在庫品; 株式,名詞,We have this item in stock.,この商品は在庫がございます。(AI生成)
84,district,地方; 地域,名詞,This represents the business district of the city.,これは市の商業地区を表している。(AI生成)
85,executive,重役; 幹部,名詞,The executives met to discuss the strategy.,幹部たちは戦略を話し合うために会合を開いた。(AI生成)
86,neither,~でも...でもない,副詞,Neither of them came to the meeting.,彼らのどちらも会議に来なかった。(AI生成)
87,duty,義務; 関税,名詞,It is my duty to help you.,あなたを助けるのが私の義務です。(AI生成)
88,presence,存在,名詞,Her presence made everyone nervous.,彼女の存在が皆を緊張させた。(AI生成)
89,avoid,を避ける,動詞,You should avoid eating too much sugar.,砂糖の摂りすぎは避けるべきだ。(AI生成)
90,relatively,比較的; 相対的に,副詞,The test was relatively easy.,そのテストは比較的簡単だった。(AI生成)
91,failure,失敗,名詞,His attempt ended in failure.,彼の試みは失敗に終わった。(AI生成)
92,marriage,結婚,名詞,They have a happy marriage.,彼らは幸せな結婚生活を送っている。(AI生成)
93,due,(日時に)予定された,形容詞,The assignment is due tomorrow.,課題は明日が期限だ。(AI生成)
94,latter,(the~) 後者,名詞,I prefer the latter option.,私は後者の選択肢の方が良い。(AI生成)
95,huge,巨大な,形容詞,A huge crowd gathered in the park.,巨大な群衆が公園に集まった。(AI生成)
96,apparently,見たところでは; どうやら,副詞,Apparently, it's going to rain today.,どうやら今日は雨が降るようだ。(AI生成)
97,career,職業; 経歴,名詞,She wants to pursue a career in medicine.,彼女は医療の道（キャリア）に進みたいと思っている。(AI生成)
98,grant,を聞き入れる; を授与する,動詞,The university granted him a scholarship.,大学は彼に奨学金を授与した。(AI生成)
99,applied,応用の,形容詞,Applied mathematics is useful in engineering.,応用数学は工学において有用だ。(AI生成)
100,finance,財政; 金融,名詞,He is an expert in international finance.,彼は国際金融の専門家だ。(AI生成)
101,merely,単に; ただの,副詞,It was merely a joke.,それは単なる冗談だった。(AI生成)
102,impact,影響, 効果,名詞,The internet has had a huge impact on society.,インターネットは社会に巨大な影響を与えた。(AI生成)
103,setting,状況, 背景,名詞,The novel is set in a rural setting.,その小説は田舎の環境を舞台（背景）にしている。(AI生成)
104,politics,政治,名詞,He is interested in international politics.,彼は国際政治に興味がある。(AI生成)
105,justice,正義, 公正,名詞,They demanded justice for the victim.,彼らは被害者のために正義を要求した。(AI生成)
106,credit,掛け売り; 信用,名詞,She bought the car on credit.,彼女はクレジット（掛け売り）で車を買った。(AI生成)
107,edge,縁, 端, 際,名詞,Don't stand so close to the edge of the cliff.,崖の縁にそんなに近づいて立ってはいけない。(AI生成)
108,advantage,利点; 優越,名詞,One advantage of living in the city is convenience.,都会に住む利点の一つは便利さだ。(AI生成)
109,reduce,を減らす, 縮小する,動詞,We need to reduce our expenses.,私たちは出費を減らす必要がある。(AI生成)
110,vote,投票する,動詞,Citizens over 18 have the right to vote.,18歳以上の市民には投票権がある。(AI生成)
111,possibly,もしかしたら,副詞,This is possibly the best movie I've ever seen.,これはもしかしたら私が今まで見た中で最高の映画かもしれない。(AI生成)
112,nevertheless,それにもかかわらず,副詞,It was raining; nevertheless, we went hiking.,雨が降っていたが、それにもかかわらず私たちはハイキングに行った。(AI生成)
113,insurance,保険,名詞,Do you have health insurance?,あなたは健康保険に入っていますか？(AI生成)
114,crime,罪, 犯罪,名詞,The crime rate has decreased this year.,今年は犯罪率が減少した。(AI生成)
115,transfer,移る, 移転する,動詞,He was transferred to the London office.,彼はロンドン支社に転勤になった。(AI生成)
116,measures,対策, 手段,名詞,The government took strict measures against the disease.,政府はその病気に対して厳しい対策を講じた。(AI生成)
117,address,に取り組む; に演説をする,動詞,We need to address this problem immediately.,私たちは直ちにこの問題に取り組む必要がある。(AI生成)
118,require,を必要とする; を要求する,動詞,This job requires a high level of concentration.,この仕事は高い集中力を必要とする。(AI生成)
119,domestic,国内の; 家庭(内)の,形容詞,The government focuses on domestic affairs.,政府は内政（国内問題）に焦点を当てている。(AI生成)
120,ordinary,通常の; 並の,形容詞,It was just an ordinary day.,それはごく普通の一日だった。(AI生成)
121,previously,前に, 以前に,副詞,She previously worked as a teacher.,彼女は以前、教師として働いていた。(AI生成)
122,solution,解決(法); 溶液,名詞,We are looking for a solution to the conflict.,私たちはその紛争の解決策を探している。(AI生成)
123,entirely,全く, 完全に,副詞,I entirely agree with you.,私はあなたに完全に同意します。(AI生成)
124,challenge,課題, 難題; やりがい,名詞,Climbing Mount Everest is a great challenge.,エベレスト登山は大きな挑戦（課題）だ。(AI生成)
125,achieve,を成し遂げる,動詞,He achieved his goal of becoming a doctor.,彼は医者になるという目標を成し遂げた。(AI生成)
126,extremely,極めて,副詞,It is extremely cold today.,今日は極めて寒い。(AI生成)
127,article,記事; 物品; 条項,名詞,I read an interesting article about AI.,私はAIに関する興味深い記事を読んだ。(AI生成)
128,fairly,相当; 公平に,副詞,The test was fairly difficult.,そのテストはかなり難しかった。(AI生成)
129,increasingly,ますます,副詞,It is becoming increasingly difficult to find a job.,仕事を見つけるのはますます難しくなっている。(AI生成)
130,initial,初期の,形容詞,My initial reaction was surprise.,私の最初の反応は驚きだった。(AI生成)
131,release,を解放する; を放つ,動詞,The band released a new album.,そのバンドは新しいアルバムをリリース（発表）した。(AI生成)
132,kingdom,王国; 王政,名詞,The United Kingdom consists of four countries.,連合王国（イギリス）は4つの国から成る。(AI生成)
133,existence,存在, 実在,名詞,Do you believe in the existence of ghosts?,あなたは幽霊の存在を信じますか？(AI生成)
134,equally,等しく; 平等に,副詞,They shared the profits equally.,彼らは利益を平等に分けた。(AI生成)
135,latest,最新の,形容詞,Have you heard the latest news?,最新のニュースを聞きましたか？(AI生成)
136,relief,安心; 軽減,名詞,It was a great relief to hear that he was safe.,彼が無事だと聞いてとても安心した。(AI生成)
137,detailed,詳細な,形容詞,Please give me a detailed report.,詳細な報告書を提出してください。(AI生成)
138,fund,基金, 資金,名詞,They set up a fund for the earthquake victims.,彼らは地震の被災者のために基金を設立した。(AI生成)
139,trial,試み; 裁判,名詞,The new drug is undergoing clinical trials.,その新薬は臨床試験中だ。(AI生成)
140,distribution,分配; 流通,名詞,The distribution of wealth is uneven.,富の分配は不均等だ。(AI生成)
141,factor,要因, 要素,名詞,Health is a key factor in happiness.,健康は幸福における重要な要因だ。(AI生成)
142,feature,特徴; 顔立ち,名詞,This car has many safety features.,この車には多くの安全機能（特徴）がある。(AI生成)
143,display,を展示する,動詞,The museum displays ancient artifacts.,その博物館は古代の工芸品を展示している。(AI生成)
144,aircraft,航空機,名詞,All aircraft were grounded due to the storm.,嵐のため全航空機が離陸禁止になった。(AI生成)
145,raise,を上げる; を育てる,動詞,Please raise your hand if you have a question.,質問がある場合は手を挙げてください。(AI生成)
146,article,記事; 物品,名詞,I read an interesting article about space.,私は宇宙に関する面白い記事を読んだ。(AI生成)
147,tend,傾向がある,動詞,Prices tend to rise during the holiday season.,休暇シーズン中は価格が上がる傾向がある。(AI生成)
148,mine,鉱山,名詞,His grandfather worked in a coal mine.,彼の祖父は炭鉱で働いていた。(AI生成)
149,search,捜す; 探る,動詞,I searched everywhere for my keys.,私は鍵をあちこち捜した。(AI生成)
150,track,の跡を追う; 通った跡,動詞,The hunters tracked the bear through the forest.,猟師たちは森の中で熊の跡を追った。(AI生成)
151,pointed,先のとがった; 辛辣な,形容詞,He made a pointed remark about her lateness.,彼は彼女の遅刻について辛辣な発言をした。(AI生成)
152,onto,~の上へ,前置詞,The cat jumped onto the table.,猫はテーブルの上に飛び乗った。(AI生成)
153,suitable,適した,形容詞,This film is not suitable for young children.,この映画は小さな子供には適していない。(AI生成)
154,client,依頼人; 顧客,名詞,The lawyer advised his client not to speak.,弁護士は依頼人に話さないよう助言した。(AI生成)
155,content,中身; 内容,名詞,The content of the letter was confidential.,その手紙の内容は機密だった。(AI生成)
156,immediate,即座の; すぐ隣の,形容詞,We need an immediate response to this crisis.,この危機に対して即座の対応が必要だ。(AI生成)
157,attitude,態度, 物腰,名詞,She has a positive attitude towards her work.,彼女は仕事に対して前向きな態度を持っている。(AI生成)
158,sufficient,十分な,形容詞,We have sufficient food for everyone.,全員分の十分な食料がある。(AI生成)
159,democratic,民主主義の,形容詞,It is a democratic country with free elections.,それは自由選挙のある民主主義国家だ。(AI生成)
160,conflict,争い, 闘争,名詞,The conflict between the two countries lasted for years.,両国間の争いは何年も続いた。(AI生成)
161,focus,焦点を絞る,動詞,Please focus your attention on the screen.,画面に注意を集中してください。(AI生成)
162,crisis,危機, 難局,名詞,The economic crisis affected the whole world.,経済危機は全世界に影響を与えた。(AI生成)
163,capacity,収容能力; 能力, 才能,名詞,The stadium has a seating capacity of 50,000.,そのスタジアムは5万人の収容能力がある。(AI生成)
164,recognition,認識; 評価; 見覚え,名詞,He received an award in recognition of his service.,彼はその功績を認められて（評価として）賞を受け取った。(AI生成)
165,absence,不在; 欠席,名詞,His absence was noticed by the teacher.,彼の不在は先生に気づかれた。(AI生成)
166,totally,全く, 完全に,副詞,I totally forgot about the meeting.,私は会議のことを完全に忘れていた。(AI生成)
167,absolutely,全く, 完全に,副詞,You are absolutely right.,君は全くもっともだ（正しい）。(AI生成)
168,critical,批判的な; 重大な,形容詞,The report was highly critical of the government.,その報告書は政府に対して非常に批判的だった。(AI生成)
169,necessarily,必ずしも(~ない),副詞,Expensive things are not necessarily better.,高価なものが必ずしも良いとは限らない。(AI生成)
170,elsewhere,他のところで,副詞,If you don't like it here, go elsewhere.,ここが気に入らないなら他へ行きなさい。(AI生成)
171,murder,殺人(事件),名詞,He was charged with attempted murder.,彼は殺人未遂で告発された。(AI生成)
172,prove,を証明する,動詞,Can you prove your theory?,あなたの理論を証明できますか？(AI生成)
173,threat,脅威; 脅迫,名詞,Pollution poses a threat to marine life.,汚染は海洋生物にとって脅威となる。(AI生成)
174,ideal,理想的な,形容詞,This house is ideal for a large family.,この家は大家族にとって理想的だ。(AI生成)
175,occur,起こる; 心に浮かぶ,動詞,The accident occurred at night.,その事故は夜に起きた。(AI生成)
176,properly,適切に,副詞,Please insure the machine is working properly.,機械が適切に動いているか確認してください。(AI生成)
177,element,要素, 成分,名詞,Honesty is a key element of his character.,正直さは彼の性格の重要な要素だ。(AI生成)
178,violence,暴力; 暴行,名詞,The film contains scenes of violence.,その映画は暴力シーンを含んでいる。(AI生成)
179,discuss,について議論する,動詞,We need to discuss the budget for next year.,来年の予算について議論する必要がある。(AI生成)
180,historical,歴史の,形容詞,There are many historical buildings in Kyoto.,京都には多くの歴史的建造物がある。(AI生成)
181,cell,細胞; 電池; 小個室,名詞,Red blood cells carry oxygen.,赤血球は酸素を運ぶ。(AI生成)
182,closely,綿密に; 詳細に; 厳重に,副詞,We are monitoring the situation closely.,私たちは状況を綿密に監視している。(AI生成)
183,reaction,反応; 反動,名詞,What was his reaction to the news?,そのニュースに対する彼の反応はどうでしたか？(AI生成)
184,drawing,線画, 素描,名詞,She is good at drawing and painting.,彼女は素描や絵画が得意だ。(AI生成)
185,maintain,を維持する; と主張する,動詞,It is difficult to maintain a healthy lifestyle.,健康的な生活様式を維持するのは難しい。(AI生成)
186,exhibition,展覧会, 展示,名詞,We visited the Picasso exhibition at the museum.,私たちは美術館のピカソ展を訪れた。(AI生成)
187,emphasis,強調, 重視,名詞,The school puts a lot of emphasis on sports.,その学校はスポーツを大いに重視している。(AI生成)
188,urban,都会の,形容詞,Urban population is increasing rapidly.,都市人口は急速に増加している。(AI生成)
189,seek,を得ようとする; を捜す,動詞,Many people seek happiness.,多くの人が幸福を求めている。(AI生成)
190,assembly,組み立て; 集会; 議会,名詞,Freedom of assembly is a basic human right.,集会の自由は基本的人権の一つだ。(AI生成)
191,desire,を強く望む,動詞,She desired a better life for her children.,彼女は子供たちのために（より）良い生活を強く望んだ。(AI生成)
192,estate,私有地, 地所,名詞,He lives on a large estate in the country.,彼は田舎の広い私有地に住んでいる。(AI生成)
193,serve,にかなう; に仕える; (食事)を出す,動詞,This room serves as a guest room.,この部屋は客室として役に立つ（機能する）。(AI生成)
194,contribution,寄付; 貢献,名詞,He made a significant contribution to the project.,彼はそのプロジェクトに多大な貢献をした。(AI生成)
195,code,暗号, 符号; 規範,名詞,The message was written in code.,そのメッセージは暗号で書かれていた。(AI生成)
196,brief,短い; つかの間の,形容詞,She gave a brief explanation of the plan.,彼女は計画について手短な説明をした。(AI生成)
197,apparent,明白な,形容詞,It became apparent that he was lying.,彼が嘘をついていることが明白になった。(AI生成)
198,establish,を確立する; を設立する,動詞,The company was established in 1950.,その会社は1950年に設立された。(AI生成)
199,literature,文学,名詞,He is studying English literature at university.,彼は大学で英文学を勉強している。(AI生成)
200,faith,信頼; 信念; 信仰,名詞,I have faith in your ability.,私はあなたの能力を信頼している。(AI生成)
201,sector,部門; 地域,名詞,The service sector is growing rapidly.,サービス部門は急速に成長している。(AI生成)
202,shot,発砲; シュート,名詞,He heard a gunshot in the distance.,彼は遠くで銃声を聞いた。(AI生成)
203,status,地位; 状態,名詞,They discussed the legal status of the immigrants.,彼らは移民の法的地位について議論した。(AI生成)
204,global,世界的な; 地球の,形容詞,Global warming is a serious problem.,地球温暖化は深刻な問題だ。(AI生成)
205,complaint,不平, 苦情,名詞,We received a complaint from a customer.,私たちは顧客から苦情を受け取った。(AI生成)
206,lead,鉛,名詞,Lead is a heavy metal.,鉛は重金属だ。(AI生成)
207,rough,粗い; おおよその,形容詞,The surface of the rock was rough.,その岩の表面はざらざらしていた。(AI生成)
208,strike,打つ; ストライキをする,動詞,The workers decided to strike for higher wages.,労働者たちは賃上げを求めてストライキをすることを決めた。(AI生成)
209,classic,最高級の; 古典的な,形容詞,This is a classic example of bad design.,これは悪いデザインの典型的な（古典的な）例だ。(AI生成)
210,vision,視力; 洞察力; 幻,名詞,She has excellent vision.,彼女は視力がとても良い。(AI生成)
211,master,主人; 名人,名詞,He is a master of disguise.,彼は変装の名人だ。(AI生成)
212,via,~経由で; ~によって,前置詞,We flew to London via Paris.,私たちはパリ経由でロンドンへ飛んだ。(AI生成)
213,largely,主として,副詞,His success was largely due to luck.,彼の成功は主として運によるものだった。(AI生成)
214,exhibit,を展示する; を示す,動詞,The gallery exhibits works by local artists.,その画廊は地元アーティストの作品を展示している。(AI生成)
215,border,国境; 境界,名詞,We crossed the border into France.,私たちは国境を越えてフランスに入った。(AI生成)
216,ancient,古代の; 古来の,形容詞,They visited the ancient ruins.,彼らは古代の遺跡を訪れた。(AI生成)
217,revolution,革命; 回転,名詞,The industrial revolution changed the world.,産業革命は世界を変えた。(AI生成)
218,engage,を従事させる; を引きつける,動詞,The topic engaged the students' interest.,そのトピックは生徒たちの興味を惹きつけた。(AI生成)
219,chemical,化学的な; 化学の,形容詞,Chemical reactions can be dangerous.,化学反応は危険な場合がある。(AI生成)
220,interaction,相互作用; 交流,名詞,Social interaction is important for mental health.,社会的交流は精神衛生にとって重要だ。(AI生成)
221,channel,海峡; チャンネル; 経路,名詞,We crossed the English Channel by ferry.,私たちはフェリーで英仏海峡を渡った。(AI生成)
222,severe,厳しい; 深刻な,形容詞,He suffered a severe injury.,彼は重傷（深刻な怪我）を負った。(AI生成)
223,taste,味; 好み,名詞,This soup has a salty taste.,このスープは塩辛い味がする。(AI生成)
224,acquire,を習得する; を手に入れる,動詞,He acquired fluency in English.,彼は英語の流暢さを習得した。(AI生成)
225,specialist,専門家,名詞,You should see a specialist.,あなたは専門家に診てもらうべきだ。(AI生成)
226,tear,涙,名詞,Tears ran down her cheeks.,涙が彼女の頬を伝って流れた。(AI生成)
227,proportion,割合; 比率,名詞,A large proportion of the budget is spent on food.,予算の大きな割合が食費に使われている。(AI生成)
228,proof,証拠; 証明,名詞,Do you have any proof of purchase?,購入の証拠（レシート等）はありますか？(AI生成)
229,confident,確信している; 自信がある,形容詞,I am confident that we will succeed.,私は私たちが成功すると確信している。(AI生成)
230,extensive,広範囲な; 大規模な,形容詞,The fire caused extensive damage.,その火事は広範囲な被害をもたらした。(AI生成)
231,genuine,本物の; 真の,形容詞,Is this leather genuine?,この革は本物ですか？(AI生成)
232,personality,個性, 人格,名詞,She has a cheerful personality.,彼女は陽気な性格をしている。(AI生成)
233,pollution,汚染,名詞,Air pollution is a major health risk.,大気汚染は主要な健康リスクだ。(AI生成)
234,dominate,を支配する,動詞,One company dominates the market.,一つの会社が市場を支配している。(AI生成)
235,arise,生じる; 発生する,動詞,Problems may arise during the process.,過程で問題が生じるかもしれない。(AI生成)
236,framework,枠組み; 骨組み,名詞,The agreement provides a framework for cooperation.,その合意は協力のための枠組みを提供している。(AI生成)
237,permission,許可,名詞,You need permission to enter this area.,この区域に入るには許可が必要だ。(AI生成)
238,settlement,解決; 入植地,名詞,They reached a peaceful settlement.,彼らは平和的な解決に至った。(AI生成)
239,wealth,富, 財産,名詞,Health is better than wealth.,健康は富に勝る。(AI生成)
240,competitive,競争の; 競争力のある,形容詞,The market is highly competitive.,その市場は非常に競争が激しい。(AI生成)
241,exposure,さらされること; 暴露,名詞,Prolonged exposure to the sun is harmful.,太陽への長時間の露出は有害だ。(AI生成)
242,steel,鋼鉄,名詞,The bridge is made of steel and concrete.,その橋は鋼鉄とコンクリートで作られている。(AI生成)
243,efficiency,能率, 効率,名詞,We need to improve the efficiency of the engine.,私たちはエンジンの効率を改善する必要がある。(AI生成)
244,peak,頂点; 山頂,名詞,Traffic reaches its peak at 8 a.m.,交通量は午前8時にピークに達する。(AI生成)
245,liquid,液体,名詞,Water is a liquid at room temperature.,水は室温では液体だ。(AI生成)
246,plot,陰謀; (小説などの)筋,名詞,The plot of the movie was complicated.,その映画の筋は複雑だった。(AI生成)
247,guilty,有罪の,形容詞,The jury found him guilty.,陪審員は彼を有罪と評決した。(AI生成)
248,calculate,を計算する,動詞,We need to calculate the cost.,私たちは費用を計算する必要がある。(AI生成)
249,silence,沈黙, 静寂,名詞,There was a long silence.,長い沈黙があった。(AI生成)
250,grand,壮大な,形容詞,The grand canyon is a spectacular sight.,グランドキャニオンは壮大な光景だ。(AI生成)
251,purchase,を購入する,動詞,He purchased a new car last week.,彼は先週新しい車を購入した。(AI生成)
252,advertising,広告,名詞,We need to increase our advertising budget.,私たちは広告予算を増やす必要がある。(AI生成)
253,inner,内部の; 奥の,形容詞,The inner circle of the group made the decision.,そのグループの内部サークルが決定を下した。(AI生成)
254,combination,結合, 連結,名詞,The combination of red and blue makes purple.,赤と青の結合（組み合わせ）は紫を作る。(AI生成)
255,afford,を持つ[する]余裕がある,動詞,I can't afford to buy a new house.,私には新しい家を買う余裕がない。(AI生成)
256,sum,金額; 合計,名詞,He owes me a large sum of money.,彼は私に多額のお金を借りている。(AI生成)
257,channel,チャンネル; 経路; 海峡,名詞,Change the television channel, please.,テレビのチャンネルを変えてください。(AI生成)
258,religion,宗教,名詞,Freedom of religion is a fundamental right.,信仰（宗教）の自由は基本的な権利だ。(AI生成)
259,temperature,温度; 気温,名詞,The temperature dropped to zero last night.,昨夜、気温はゼロ度まで下がった。(AI生成)
260,struggle,奮闘する,動詞,He struggled to finish the report on time.,彼はレポートを時間通りに終わらせようと奮闘した。(AI生成)
